id,name,category,applicability_class,constraint_applied,affected_particles,observable,required_observables,available_observables,missing_observables,tested_subregion,source_title,arxiv_id,citation_verified
C01,BBN/CMB bounds on MeV-scale thermal dark sectors,BBN,requires_new_backend,false,"W_D_a; chi","light thermal relic impact on expansion and light-element/CMB observables","dark-sector temperature ratio; thermalization history; abundance/energy density at BBN and recombination; annihilation or decay channels to SM/neutrinos/dark radiation","m_WD 1sigma = 0.256-0.577 GeV; m_chi 1sigma = 0.0368-0.0892 GeV; portal_coupling = 0; Treh MAP = 0.0978 GeV","dark-sector temperature ratio; abundance/yield; branching fractions; entropy transfer; BBN/CMB likelihood mapping","PTArcade 1sigma masses overlap MeV-GeV dark-sector cosmology, but published thermal-SM bounds do not apply without thermal coupling/temperature assumptions","Refined Bounds on MeV-scale Thermal Dark Sectors from BBN and the CMB",1910.01649,true
C02,Updated BBN/CMB MeV dark-sector bounds after LUNA rate,BBN,requires_new_backend,false,"W_D_a; chi","updated BBN/CMB thermal dark-sector limits","same as C01 plus nuclear-rate convention used in BBN likelihood","same as C01","same as C01","Same mass subregion as C01; used as robustness/update source, not a separate exclusion","Addendum: Refined bounds on MeV-scale thermal dark sectors from BBN and the CMB",2107.11232,true
C03,Delta N_eff / dark radiation from secluded sector,Neff,requires_new_backend,false,"W_D_a; chi; possible dark radiation","extra relativistic energy density at BBN/CMB","dark-sector temperature ratio; relativistic degrees of freedom at neutrino decoupling/recombination; entropy dumps from W_D/chi","masses and FOPT temperatures available; no temperature ratio or relativistic-energy budget","xi=T_dark/T_SM; decoupling temperature; entropy evolution; Delta N_eff","Relevant if the secluded sector was ever populated or has residual radiation; not testable from mass/coupling alone","Planck 2018 results. VI. Cosmological parameters","",true
C04,BBN/CMB energy release from PTA-scale dark phase transition,CMB,requires_new_backend,false,"dark-sector vacuum energy; W_D_a; chi","late energy injection / altered expansion from supercooled FOPT and reheating","full thermal history; visible-sector reheating or decoupled-sector reheating; fraction of released energy into SM radiation vs dark radiation; decay lifetimes if any","PTA MAP alpha is extremely large; Treh_MAP = 0.0978 GeV; no SM portal","energy-partition model; entropy injection; dark-sector temperature; BBN/CMB observables","MAP context and 1sigma region have strong supercooling; cosmological viability cannot be inferred from GW fit alone","Does NANOGrav observe a dark sector phase transition?",2306.09411,true
C05,Self-interacting dark matter limits from halo/cluster structure,structure_formation,requires_new_backend,false,"W_D_a","transfer/self-interaction cross section per mass sigma_T/m as a function of velocity","stable DM fraction in W_D; non-Abelian vector self-scattering cross sections; velocity dependence at dwarf/cluster scales; relic abundance","m_WD 1sigma = 0.256-0.577 GeV; gD 1sigma = 0.853-0.916; vector multiplicity = 3","sigma_T/m(v); relic abundance/fraction; dark bound-state/plasma effects if relevant","Relevant only if W_D is cosmologically stable and abundant; no direct exclusion from mass/gD alone","Dark matter self-interactions and small scale structure","",true
C06,Bullet Cluster / merging-cluster self-interaction upper bounds,structure_formation,requires_new_backend,false,"W_D_a","cluster-scale sigma/m upper bound","same as C05 with cluster velocity mapping and halo-model assumptions","same as C05","sigma/m at cluster velocities; DM fraction in W_D","Overlaps if W_D is the DM component; requires computed cross section and abundance","Direct constraints on the dark matter self-interaction cross-section from the merging galaxy cluster 1E0657-56","",true
C07,Higgs-portal invisible/exotic Higgs decay constraints,collider,not_applicable,false,"chi; W_D_a","Higgs invisible or exotic branching fractions","nonzero Higgs portal/mixing; decay widths h->dark states; branching fractions","portal_coupling = 0 in minimal model; m_dark < m_h/2","none for minimal model; for extensions need portal coupling and widths","Not applicable to the minimal secluded model; becomes relevant only in nonzero-portal extensions","The Higgs-portal for dark matter: effective field theories versus concrete realizations","",true
C08,Higgs-portal direct detection constraints,direct_detection,not_applicable,false,"W_D_a; chi","DM-nucleon scattering cross section","nonzero portal/mixing; local DM fraction; elastic scattering matrix element","portal_coupling = 0; no relic abundance/local fraction","none for minimal model; for extensions need sigma_SI and relic fraction","Not applicable with zero portal; mass alone cannot be compared to direct-detection bounds","The Higgs-portal for dark matter: effective field theories versus concrete realizations","",true
C09,Beam-dump/fixed-target dark-sector searches,beam_dump,not_applicable,false,"W_D_a; chi","visible production and decay/scattering rates in fixed-target experiments","SM portal such as kinetic mixing, scalar mixing, or other mediator; production cross section; decay modes/lifetimes","No Abelian kinetic mixing for non-Abelian SU(2)_D before breaking; Higgs portal fixed to zero","none for minimal model; for extensions need portal parameters and detector-level rates","Not applicable to secluded minimal model; MeV-GeV mass overlap alone is insufficient","Dark Sectors 2016 Workshop: Community Report",1608.08632,true
C10,Collider and accelerator portal searches for light hidden sectors,collider,not_applicable,false,"W_D_a; chi","portal-mediated production, missing energy, displaced or visible decays","explicit SM portal; production/decay model; detector efficiencies","portal_coupling = 0; no kinetic mixing; all new particles SM singlets","none for minimal model","Not applicable without an SM portal; community reports used to identify missing portal assumptions","US Cosmic Visions: New Ideas in Dark Matter 2017: Community Report",1707.04591,true
C11,Thermalization / decoupling of secluded dark sector,thermalization,requires_new_backend,false,"Phi/chi; W_D_a","interaction rate Gamma/H and decoupling temperature","initial condition; portal coupling if any; gravitational/other connectors; dark-sector self-thermalization; entropy transfer","portal = 0; dark self-coupling gD 1sigma available; FOPT temperatures available","initial dark temperature; connector rate to SM; decoupling temperature","Central missing calculation for interpreting all BBN/CMB/Neff constraints","Observational Constraints on Decoupled Hidden Sectors",1604.02401,false
C12,Perturbativity and unitarity of dark SU(2) coupling,theory,direct,false,"gD; W_D_a; chi","coupling size and CW expansion validity","gD posterior; perturbative criterion; FOPT backend validity flags","gD 1sigma = 0.853-0.916; gD MAP = 0.863; beta_lambda and masses derived; PTArcade warns strong supercooling/template caveats","none for simple gD perturbativity; higher-loop/RG stability optional","1sigma gD is below sqrt(4*pi), so basic perturbativity is passed; no exclusion applied because this is a consistency check","handoff_critique.json / handoff_pta.json","",true
